Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Topeka, KS",64,8336.76,,,,,,,,,,,,,,,,,1865,,,,
"Atchison, KS",,,,,,,,,,,,,,,,,,,1865,,,,
"Humboldt, KS",182,26462.4,,,,,,,,,,,,,,,,,1865,,,,
"Junction City, KS",147,18173.17,,,,,,,,,,,,,,,,,1865,,,,
"Omaha, NE",275,34328.8,,,,,,,,,,,,,,,,,1865,,,,
"Brownville, NE",257,37636.05,,,,,,,,,,,,,,,,,1865,,,,
"Nebraska City, NE",267,39854.21,,,,,,,,,,,,,,,,,1865,,,,
"Dakota City, NE",22,3051.4,,,,,,,,,,,,,,,,,1865,,,,
"Denver, CO",157,24197.99,,,,,,,,,,,,,,,,,1865,,,,
"Vermillion, SD",54,9311.5,,,,,,,,,,,,,,,,,1865,,,,
"Carson City, NV",1,40,,,,,,,,,,,,,,,,,1865,,,,
"Chillicothe, OH",15,883.39,,,,,,,,,,,,,,,,,1866,,,,
"Springfield, IL",2,79.62,,,,,,,,,,,,,,,,,1866,,,,
"Boonville, MO",2912,285781.9,,,,,,,,,,,,,,,,,1866,,,,
"Ironton, MO",282,29633.23,,,,,,,,,,,,,,,,,1866,,,,
"Montgomery, AL",4,634.22,,,,,,,,,,,,,,,,,1866,,,,
"Detroit, MI",163,20905.76,,,,,,,,,,,,,,,,,1866,,,,
"East Saginaw, MI",359,43974.65,,,,,,,,,,,,,,,,,1866,,,,
"Ionia, MI",933,100340.9,,,,,,,,,,,,,,,,,1866,,,,
"Marquette, MI",7,878.05,,,,,,,,,,,,,,,,,1866,,,,
"Traverse City, MI",670,99348.67,,,,,,,,,,,,,,,,,1866,,,,
"Des Moines, IA",40,3417.88,,,,,,,,,,,,,,,,,1866,,,,
"Council Bluffs, IA",3,400,,,,,,,,,,,,,,,,,1866,,,,
"Fort Dodge, IA",765,79352.77,,,,,,,,,,,,,,,,,1866,,,,
"Sioux City, IA",179,22787.37,,,,,,,,,,,,,,,,,1866,,,,
"Menasha, WI",90,8611.99,,,,,,,,,,,,,,,,,1866,,,,
"St. Croix Falls, WI",319,31096.32,,,,,,,,,,,,,,,,,1866,,,,
"Stevens Point, WI",72,6411.33,,,,,,,,,,,,,,,,,1866,,,,
"La Crosse, WI",582,59183.89,,,,,,,,,,,,,,,,,1866,,,,
"Bayfield, WI",4,617.5,,,,,,,,,,,,,,,,,1866,,,,
"Eau Claire, WI",178,23604.46,,,,,,,,,,,,,,,,,1866,,,,
"Taylors Falls, MN",94,12763.6,,,,,,,,,,,,,,,,,1866,,,,
"St. Cloud, MN",1263,180394.8,,,,,,,,,,,,,,,,,1866,,,,
"Winnebago, MN",1099,155735.27,,,,,,,,,,,,,,,,,1866,,,,
"Minneapolis, MN",424,35094.21,,,,,,,,,,,,,,,,,1866,,,,
"St. Peter, MN",900,105867.05,,,,,,,,,,,,,,,,,1866,,,,
"Henderson, MN",,,,,,,,,,,,,,,,,,,1866,,,,
"Duluth, MN",1,145.3,,,,,,,,,,,,,,,,,1866,,,,
"San Francisco, CA",697,19912.25,,,,,,,,,,,,,,,,,1866,,,,
"Marysville, CA",56,7362.81,,,,,,,,,,,,,,,,,1866,,,,
"Humboldt, CA",13,2059.41,,,,,,,,,,,,,,,,,1866,,,,
"Stockton, CA",155,23556.14,,,,,,,,,,,,,,,,,1866,,,,
"Visalia, CA",84,12340.51,,,,,,,,,,,,,,,,,1866,,,,
"Oregon City, OR",337,49042.24,,,,,,,,,,,,,,,,,1866,,,,
"Roseburg, OR",145,21929.85,,,,,,,,,,,,,,,,,1866,,,,
"Olympia, WA",75,11587.05,,,,,,,,,,,,,,,,,1866,,,,
"Vancouver, WA",133,20959.74,,,,,,,,,,,,,,,,,1866,,,,
"Topeka, KS",237,26546.94,,,,,,,,,,,,,,,,,1866,,,,
"Humboldt, KS",317,42584.88,,,,,,,,,,,,,,,,,1866,,,,
"Junction City, KS",653,77757,,,,,,,,,,,,,,,,,1866,,,,
"Omaha, NE",364,38898.71,,,,,,,,,,,,,,,,,1866,,,,
"Brownville, NE",615,95055.31,,,,,,,,,,,,,,,,,1866,,,,
"Nebraska City, NE",413,59559.09,,,,,,,,,,,,,,,,,1866,,,,
"Dakota City, NE",71,10588.15,,,,,,,,,,,,,,,,,1866,,,,
"Denver, CO",208,31265.14,,,,,,,,,,,,,,,,,1866,,,,
"Vermillion, SD",153,24127.94,,,,,,,,,,,,,,,,,1866,,,,
"Carson City, NV",,,,,,,,,,,,,,,,,,,1866,,,,
"Chillicothe, OH",3,315,,,,,,,,,,,,,,,,,1867,,,,
"Springfield, IL",,,,,,,,,,,,,,,,,,,1867,,,,
"Boonville, MO",1083,103180.13,,,,,,,,,,,,,,,,,1867,,,,
"Ironton, MO",408,50105.03,,,,,,,,,,,,,,,,,1867,,,,
"Springfield, MO",536,51558.75,,,,,,,,,,,,,,,,,1867,,,,
"Montgomery, AL",45,3405.07,,,,,,,,,,,,,,,,,1867,,,,
"Huntsville, AL",569,43808.17,,,,,,,,,,,,,,,,,1867,,,,
"Jackson, MS",555,31344.65,,,,,,,,,,,,,,,,,1867,,,,
"New Orleans, LA",260,19845.24,,,,,,,,,,,,,,,,,1867,,,,
"Detroit, MI",90,12110.39,,,,,,,,,,,,,,,,,1867,,,,
"East Saginaw, MI",258,32160.31,,,,,,,,,,,,,,,,,1867,,,,
"Ionia, MI",685,74710.69,,,,,,,,,,,,,,,,,1867,,,,
"Marquette, MI",5,693.1,,,,,,,,,,,,,,,,,1867,,,,
"Traverse City, MI",609,84558.85,,,,,,,,,,,,,,,,,1867,,,,
"Little Rock, AR",835,50418.81,,,,,,,,,,,,,,,,,1867,,,,
"Tallahassee, FL",1786,112192.86,,,,,,,,,,,,,,,,,1867,,,,
"Des Moines, IA",56,4609.14,,,,,,,,,,,,,,,,,1867,,,,
"Council Bluffs, IA",77,5775.93,,,,,,,,,,,,,,,,,1867,,,,
"Fort Dodge, IA",313,30462.65,,,,,,,,,,,,,,,,,1867,,,,
"Sioux City, IA",278,30875.55,,,,,,,,,,,,,,,,,1867,,,,
"Menasha, WI",66,5987.39,,,,,,,,,,,,,,,,,1867,,,,
"St. Croix Falls, WI",347,32188.25,,,,,,,,,,,,,,,,,1867,,,,
"Stevens Point, WI",104,7616.23,,,,,,,,,,,,,,,,,1867,,,,
"La Crosse, WI",610,73356.42,,,,,,,,,,,,,,,,,1867,,,,
"Bayfield, WI",,,,,,,,,,,,,,,,,,,1867,,,,
"Eau Claire, WI",166,19952.4,,,,,,,,,,,,,,,,,1867,,,,
"Taylors Falls, MN",328,40307.25,,,,,,,,,,,,,,,,,1867,,,,
"St. Cloud, MN",1128,149654.83,,,,,,,,,,,,,,,,,1867,,,,
"Winnebago, MN",554,62227.31,,,,,,,,,,,,,,,,,1867,,,,
"Greenleaf, MN",456,37424.88,,,,,,,,,,,,,,,,,1867,,,,
"St. Peter, MN",491,48357.78,,,,,,,,,,,,,,,,,1867,,,,
"Henderson, MN",,,,,,,,,,,,,,,,,,,1867,,,,
"Duluth, MN",3,320,,,,,,,,,,,,,,,,,1867,,,,
"San Francisco, CA",66,8417.06,,,,,,,,,,,,,,,,,1867,,,,
"Marysville, CA",72,10639.78,,,,,,,,,,,,,,,,,1867,,,,
