id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
143,1863/05/09,1863/05/09,40,Shealter Cove,Shelter Cove,California,CA-1863/05/09,4,4,3,3,6,6,,,,,,,,Michno: Encyclopedia,Eel River,,,,1,7,0,0,7,10,-124.0650031,40.02768915
215,1863/05/15,1863/05/15,13,Verdigris River,Verdigris River,Kansas,KS-1863/05/15,,,,,,,19,,,,,,,Michno: Forgotten Fights,Osage,,,,4,0,19,0,19,0,-95.03134581,37.41752476
365,1863/06/16,1863/06/16,31,Jornada de Muerto,Apache War- Franklin,New Mexico,NM-1863/06/16,,,,,,,3,4,4,,,,,Michno: Encyclopedia,Mimbres Apache,,,,3,0,7,0,7,0,-106.9435951,32.69811618
342,1863/06/20,1863/06/20,8,Government Springs,Government Springs,Nevada,NV-1863/06/20,10,10,,,,,,,,,,,,Michno: Encyclopedia,Goshute,,,,2,10,0,0,10,10,-114.8979735,40.13696063
366,1863/06/20,1863/06/20,32,Warm Springs,Warm springs,New Mexico,NM-1863/06/20,,,,,,,2,2,2,2,2,2,,Michno: Encyclopedia,Apache,,,,2,0,4,4,8,0,-107.1443808,33.11180135
309,1863/06/23,1863/06/23,6,Pawnee Agency,Pawnee agency pursuit,Nebraska,NE-1863/06/23,5,5,,,,,2,1,1,,,,,Michno: Encyclopedia,Lakota Sioux,,,,4,5,3,0,8,6,-98.21629519,41.33765896
343,1863/06/23,1863/06/23,9,Egan Canyon Station,Government Springs retaliation,Nevada,NV-1863/06/23,,,,,,,3,1,1,1,1,,,Michno: Encyclopedia,Goshute,,,,2,0,4,1,5,0,-114.8508857,39.72143186
269,1863/06/29,1863/06/29,8,Dustin Massacre,Dustin Massacre,Minnesota,MN-1863/06/29,1,1,,,,,,,,4,4,,,Michno: Encyclopedia,Santee Sioux,,,,4,1,0,4,5,2,-94.23469055,45.03629034
367,1863/07/04,1863/07/04,33,Fort Craig,Ft. Craig,New Mexico,NM-1863/07/04,4,4,,,,,,3,3,,,,,Michno: Encyclopedia,Navajo,Mimbres Apache,,,4,4,3,0,7,6,-107.1374589,33.66913343
344,1863/07/06,1863/07/06,6,Egan Canyon Station,Egan Canyon Station,Nevada,NV-1863/07/06,2,2,,,,,6,,,,,,,Michno: Forgotten Fights,Goshute,,,,2,2,6,0,8,3,-114.8880611,40.05061484
521,1863/07/07,1863/07/07,5,Grand Pass,Grand Pass,Wyoming,WY-1863/07/07,20,20,40,40,,,1,6,6,,,,,Michno: Encyclopedia,Ute,,,,3,60,7,0,67,9,-106.3654088,41.34569173
144,1863/07/09,1863/07/09,41,Redwood Creek,Redwood Creek,California,CA-1863/07/09,several,5,,,,,,,,2,2,8,,Michno: Encyclopedia,Unidentified,,,,3,5,0,10,15,3,-123.8333427,40.91191944
