id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
368,1863/07/10,1863/07/10,34,Cooke's Canyon,Apache War- Cooke's Canyon,New Mexico,NM-1863/07/11,4,4,several,5,,,,4,4,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,9,4,0,13,7,-107.6811025,32.48134803
369,1863/07/12,1863/07/12,35,Fort Thorn,Apache War- Fort Thorn,New Mexico,NM-1863/07/12,10,10,,,,,,2,2,,,,,Michno: Encyclopedia,Apache,,,,2,10,2,0,12,8,-107.254189,32.55808287
370,1863/07/18,1863/07/18,36,Rio Hondo,Apache War- Rio Hondo,New Mexico,NM-1863/07/18,6,6,,,,,1,,,,,,,Michno: Encyclopedia,Mescalero Apache,,,,3,6,1,0,7,9,-104.7275424,33.34593379
371,1863/07/19,1863/07/19,37,Paraje,Paraje,New Mexico,NM-1863/07/19,2,2,some,5,,,2,,,,,,,Michno: Encyclopedia,Navajo,,,,4,7,2,0,9,8,-106.9320649,33.47964843
372,1863/07/22,1863/07/22,38,Conchas Springs,Conchas Springs,New Mexico,NM-1863/07/22,2,2,a number,5,,,2,1,1,,,,,Michno: Encyclopedia,Navajo,,,,4,7,3,0,10,7,-104.4801436,35.40189567
373,1863/07/24,1863/07/24,39,Cooke's Canyon,Apache War- Cooke's Canyon,New Mexico,NM-1863/07/24,,,,,,,1,1,1,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,0,2,0,2,0,-107.6016039,32.36559431
447,1863/07/24,1863/07/24,2,Big Mound,Dakota War- Big Mound,North Dakota,DK-1863/07/24,40,40,40,40,,,3,4,4,,,,,Michno: Encyclopedia,Santee Sioux,,,,4,80,7,0,87,9,-99.67065372,46.72744869
446,1863/07/26,1863/07/26,3,Dead Buffalo Lake,Dakota War- Dead Buffalo Lake,North Dakota,DK-1863/07/26,15,15,,,,,1,,,,,,,Michno: Encyclopedia,Lakota Sioux,,,,4,15,1,0,16,9,-99.86986931,46.68705886
448,1863/07/28,1863/07/28,4,Stony Lake,Dakota War- Stony Lake,North Dakota,DK-1863/07/28,11,11,,,,,,,,,,,,Michno: Encyclopedia,Lakota Sioux,,,,4,11,0,0,11,10,-100.2050724,46.61172504
449,1863/08/03,1863/08/03,5,Mackinaw Massacre,Dakota War- Mackinaw Massacre,North Dakota,DK-1863/08/03,12,12,,,,,,,,22,22,,,Michno: Encyclopedia,Lakota Sioux,,,,4,12,0,22,34,4,-100.6425683,46.57140212
